years,type,price_median,price_mean,price_min,price_max,index,pct_ch
2021,yaris,264000000.0,260651515.15151516,229000000,290000000,1.0,
2020,yaris,240000000.0,229400000.0,123000000,285000000,0.9090909090909091,-0.11989769226297742
2019,yaris,235000000.0,235831115.4509804,205000000,255000000,0.8901515151515151,0.028034505017351385
2018,yaris,229000000.0,223863157.89473686,172000000,243000000,0.8674242424242424,-0.05074800046362493
2017,yaris,179999999.0,183562711.83050847,141800000,210000000,0.681818178030303,-0.18002268190631943
2016,yaris,175500000.0,170145831.25,125000000,195000000,0.6647727272727273,-0.07309153611163066
2021,xpander,272000000.0,267823235.04651162,225000000,294000000,1.0,
2020,xpander,255000000.0,255199966.66666666,212000000,276000000,0.9375,-0.047132835124080064
2019,xpander,225000000.0,225125242.70873785,187000000,265000000,0.8272058823529411,-0.11784767980479938
2018,xpander,219000000.0,216739999.99166667,175000000,251000000,0.8051470588235294,-0.03724701244595574
2017,xpander,196500000.0,201500000.0,185000000,225000000,0.7224264705882353,-0.07031466269379272
2021,rush,257000000.0,256640428.76190478,238000000,279000000,1.0,
2020,rush,238000000.0,240578947.34210527,225000000,269000000,0.9260700389105059,-0.0625835979829209
2019,rush,230000000.0,228470833.33333334,207500000,255000000,0.8949416342412452,-0.05032906720451347
2018,rush,219000000.0,219697223.68421054,150000000,250000000,0.8521400778210116,-0.038401442849916534
2017,rush,182500000.0,183357894.7368421,165000000,201000000,0.7101167315175098,-0.16540640950293506
2016,rush,173500000.0,172919230.76923078,152000000,185000000,0.6750972762645915,-0.05693054003806619
2021,jazz,280000000.0,281250000.0,280000000,285000000,1.0,
2020,jazz,275000000.0,275071371.4285714,215000000,332000000,0.9821428571428571,-0.021968457142857223
2019,jazz,260000000.0,259936351.35135135,224900000,289000000,0.9285714285714286,-0.05502215660836307
2018,jazz,242000000.0,241427647.04705882,189000000,275000000,0.8642857142857143,-0.07120475534903026
2017,jazz,227500000.0,224563588.8888889,185000000,257000000,0.8125,-0.0698513959127589
2016,jazz,211000000.0,209816176.45588234,179000000,230000000,0.7535714285714286,-0.0656714318914069
2021,innova,399500000.0,403562499.9791667,324000000,499000000,1.0,
2020,innova,379000000.0,365783018.8679245,280000000,430000000,0.9486858573216521,-0.09361494468190801
2019,innova,329999999.0,335940658.2087912,245000000,440000000,0.8260325381727159,-0.08158487168566098
2018,innova,316000000.0,317613020.8333333,238000000,399000000,0.7909887359198998,-0.05455617510895938
2017,innova,315000000.0,313879761.9047619,239000000,395000000,0.7884856070087609,-0.011754111713607629
2016,innova,270000000.0,281489247.31182796,229000000,340000000,0.6758448060075094,-0.10319402052675808
2021,hr-v,329000000.0,331548148.1481481,295000000,389000000,1.0,
2020,hr-v,310000000.0,322121285.71428573,279000000,365000000,0.9422492401215805,-0.028432861068643733
2019,hr-v,290000000.0,292788571.4285714,250000000,340000000,0.8814589665653495,-0.09106108657386824
2018,hr-v,283500000.0,284379998.0,214000000,351000000,0.8617021276595744,-0.028718926382762744
2017,hr-v,242000000.0,244549206.34920636,204000000,315000000,0.7355623100303952,-0.1400618606474343
2016,hr-v,221000000.0,227614872.31914893,192500000,283000000,0.6717325227963525,-0.0692471436847597
2021,cr-v,559500000.0,561450000.0,515000000,605000000,1.0,
2020,cr-v,503500000.0,508833333.3333333,489000000,529000000,0.8999106344950849,-0.09371567667052572
2019,cr-v,459999999.0,451475793.0344828,399000000,495000000,0.8221626434316354,-0.11272362980448847
2018,cr-v,440000000.0,434078048.7804878,340000000,480000000,0.7864164432529044,-0.038535275916036116
2017,cr-v,339000000.0,345928571.4285714,275000000,465000000,0.6058981233243967,-0.2030728750268903
2016,cr-v,269000000.0,269115384.5769231,225000000,315000000,0.48078641644325293,-0.22204927027112875
2021,brio,177500000.0,180391304.32608697,150000000,211000000,1.0,
2020,brio,166975000.0,167625000.0,136000000,200000000,0.9407042253521126,-0.07077006496393956
2019,brio,165000000.0,165201550.3875969,128000000,199500000,0.9295774647887324,-0.01445756666608855
2018,brio,145000000.0,143333333.33333334,110000000,183000000,0.8169014084507042,-0.13237295293510387
2017,brio,129500000.0,130384812.49107143,112000000,152000000,0.7295774647887324,-0.0903385175041529
2016,brio,127000000.0,126973684.19298245,100000000,155000000,0.7154929577464789,-0.02616200639413102
2021,avanza,222000000.0,236200000.0,180000000,315000000,1.0,
2020,avanza,210000000.0,210230769.23076922,178000000,275000000,0.9459459459459459,-0.1099459389044487
2019,avanza,190000000.0,190274358.97435898,156000000,217000000,0.8558558558558559,-0.09492621051347716
2018,avanza,165000000.0,164701754.3859649,138000000,191000000,0.7432432432432432,-0.1343985848972966
2017,avanza,155000000.0,154087243.58974358,119000000,188000000,0.6981981981981982,-0.06444685932942218
2016,avanza,148000000.0,147650000.0,120000000,168000000,0.6666666666666666,-0.041776615894841385
